Date	Time	Serial number	Customer	Modul type	Protocol file	File version	
27.09.2016	15:43:49					1.03	

[mm²] Cell area	[°C] T Cell	[%/K] Modul-TkI	[%/K] Modul TkU	[°C] T Monitor Cell	[%/K] Monitor Cell TkI	LoadType	Measurement type	[W/m²] corrected to	Gain monitor mell	Optical class	[W/m²/mV] Calibration value	Spectral mismatch faktor	Correction Type	CellParamTkI_Umpp	CellParamTkU_Umpp	IEC60891_RsType	IEC60891_TkI	IEC60891_TkU	IEC60891_Kfact	MeasureTimeLf	
23590.000000000	22.171234200	0.070000000	-0.200000000	22.291587275	0.065590000	EL3	LF2	1000.000000000	100.000000000	0	15.589536000	1.000000000	S	0.070000000	-0.360000000	1.000000000	0.008000000	-2.000000000	0.012500000	19.900000000	

[A]Isc	[V]Uoc	[A]Impp	[V]Umpp	[W]Pmpp	[%]Eta	[%]FF	[Ohm]Rser	[Ohm]Rshunt	[W/m²]Irrad.	
9.439855146	0.672832639	8.742189700	0.575808166	5.033824220	21.338805511	79.254816506	0.004029179	48.378290829	995.302736411	

Ufrom[V]	Uto[V]	Lines	Decimals	Ifrom[A]	Ito[A]	Lines	Decimals	
0.000000000	1.000000000	10	1	0.000000000	10.000000000	10	1	

Nr	[V]Uraw	[A]Iraw	[mV]Eraw	[V]Uflt	[A]Iflt	[mV]Eflt	[V]Ucor	[A]Icor	[W/m2]Ecor	
3	0.661458931	-0.748746091	31.925741133	0.661418874	-0.678822660	31.918183479	0.657778777	-0.682250098	498.475185593	
4	0.661766035	-0.695371641	31.919641973	0.661098418	-0.622387882	31.911288777	0.657465803	-0.625665526	498.367509107	
5	0.661458931	-0.632990252	31.910493234	0.660711200	-0.557685865	31.904791846	0.657086100	-0.560736935	498.266044726	
6	0.660537619	-0.562936286	31.901344495	0.660310630	-0.488139536	31.899223048	0.656692343	-0.490895806	498.179075256	
7	0.660537619	-0.490213598	31.895245335	0.659816593	-0.416272580	31.893256479	0.656205957	-0.418701369	498.085893682	
8	0.659616308	-0.416490139	31.895245335	0.659322556	-0.343332332	31.886494368	0.655720223	-0.345408779	497.980287897	
9	0.659309204	-0.343100270	31.892195756	0.658868576	-0.270247046	31.879599666	0.655274431	-0.271940279	497.872611411	
10	0.659002100	-0.269710401	31.886096596	0.658361187	-0.197451838	31.872970145	0.654775294	-0.198730299	497.769076328	
11	0.658387892	-0.197321303	31.867799118	0.657893855	-0.124932205	31.867931708	0.654314674	-0.125760996	497.690389665	
12	0.657773684	-0.123931434	31.855600799	0.657466580	-0.052572114	31.865677671	0.653891587	-0.052924617	497.655187737	
13	0.657466580	-0.051875926	31.858650379	0.657012600	0.019729960	31.867136166	0.653438871	0.019861343	497.677965456	
14	0.656852372	0.018845221	31.864749538	0.656571973	0.092191578	31.871644240	0.652996919	0.092792360	497.748369312	
15	0.656545268	0.090900728	31.870848698	0.656117993	0.164609684	31.876947857	0.652541038	0.165654825	497.831197378	
16	0.656545268	0.164624188	31.873898277	0.655637309	0.236911758	31.881323341	0.652059370	0.238383240	497.899530533	
17	0.655623956	0.238014057	31.889146176	0.655103215	0.309039786	31.883709969	0.651526226	0.310935985	497.936803162	
18	0.655009748	0.310736745	31.892195756	0.654582473	0.380732695	31.883577378	0.651008437	0.383070379	497.934732461	
19	0.654395540	0.381124301	31.886096596	0.654021675	0.451917967	31.882118884	0.650451899	0.454713527	497.911954743	
20	0.654395540	0.451845448	31.879997437	0.653500933	0.522784153	31.879467075	0.649936177	0.526061845	497.870540710	
21	0.653167125	0.523233775	31.879997437	0.653020249	0.593244229	31.878141171	0.649459203	0.596988513	497.849833693	
22	0.653167125	0.593954921	31.873898277	0.652526212	0.663428730	31.878273761	0.648967752	0.667613210	497.851904395	
23	0.652245813	0.663675297	31.873898277	0.652018823	0.733207121	31.879997437	0.648461717	0.737791825	497.878823516	
24	0.652245813	0.734396443	31.873898277	0.651551491	0.802506883	31.882384065	0.647994981	0.807464465	497.916096146	
25	0.651631605	0.803116048	31.889146176	0.651030749	0.871328015	31.885035873	0.647474913	0.876637834	497.957510179	
26	0.651017397	0.872169243	31.886096596	0.650550065	0.939699525	31.887952862	0.646994470	0.945339512	498.003065615	
27	0.650403189	0.939888076	31.889146176	0.650042676	1.007606910	31.890869852	0.646487473	1.013561754	498.048621052	
28	0.650096085	1.008607681	31.886096596	0.649535287	1.075108185	31.892991298	0.645981128	1.081390017	498.081752278	
29	0.649481877	1.075659334	31.892195756	0.649027898	1.142203350	31.895377926	0.645474570	1.148791251	498.119024908	
30	0.649174773	1.142710987	31.898294915	0.648467099	1.209022940	31.896306059	0.644916086	1.215960853	498.133519820	
31	0.648560566	1.209429050	31.901344495	0.647906301	1.275465428	31.896306059	0.644358359	1.282784618	498.133519820	
32	0.647946358	1.275813522	31.898294915	0.647345502	1.341661349	31.894847564	0.643801817	1.349422105	498.110742102	
33	0.647332150	1.341864404	31.898294915	0.646717942	1.407625208	31.892328346	0.643179738	1.415879361	498.071398770	
34	0.646410838	1.408248877	31.889146176	0.646157143	1.473240972	31.889941719	0.642623944	1.481990792	498.034126140	
35	0.646410838	1.473632578	31.889146176	0.645529583	1.538494138	31.888350634	0.642001106	1.547708727	498.009277720	
36	0.645796630	1.539016280	31.886096596	0.644915375	1.603341195	31.886892139	0.641391436	1.613017951	497.986500002	
37	0.644568214	1.604399981	31.886096596	0.644301167	1.667651605	31.887024729	0.640780477	1.677709522	497.988570704	
38	0.644568214	1.668449321	31.886096596	0.643633550	1.731512395	31.890472080	0.640113721	1.741767163	498.042408947	
39	0.643339798	1.732165071	31.889146176	0.642979285	1.795039593	31.897764553	0.639457146	1.805257785	498.156297538	
40	0.643339798	1.795547231	31.883047017	0.642325020	1.858073659	31.910493234	0.638796203	1.867905288	498.355084897	
41	0.642111383	1.858262210	31.892195756	0.641644051	1.920846653	31.926934446	0.638105741	1.930016034	498.611851902	
42	0.641804279	1.920977189	31.925741133	0.640989786	1.983242546	31.942845297	0.637442298	1.991717204	498.860336101	
43	0.640882967	1.984692939	31.950137770	0.640308816	2.045159809	31.955839158	0.636754673	2.053063893	499.063264863	
44	0.640268759	2.045406376	31.977583988	0.639654551	2.106714474	31.962999041	0.636098305	2.114382713	499.175082752	
45	0.639654551	2.107787764	31.980633567	0.638973582	2.167717989	31.962999041	0.635421121	2.175608276	499.175082752	
46	0.639040343	2.168167611	31.968435249	0.638279260	2.228141348	31.957430244	0.634735110	2.236641252	499.088113283	
47	0.638426135	2.228881048	31.953187350	0.637531528	2.288100581	31.948811866	0.633998414	2.297448800	498.953517675	
48	0.637504824	2.289260895	31.950137770	0.636770445	2.347465153	31.939928308	0.633248637	2.357711486	498.814780664	
49	0.636890616	2.348306380	31.944038611	0.635969304	2.406293079	31.931575111	0.632458586	2.417428414	498.684326460	
50	0.635969304	2.407018276	31.925741133	0.635168163	2.464642376	31.923619686	0.631668204	2.476664763	498.560084361	
51	0.635047992	2.465062990	31.919641973	0.634407079	2.522513044	31.915399080	0.630917857	2.535470626	498.431700858	
52	0.634433784	2.523441295	31.919641973	0.633632643	2.579963097	31.907045883	0.630154322	2.593894686	498.301246654	
53	0.633512472	2.580151648	31.913542814	0.632844855	2.637094065	31.899753410	0.629376651	2.651940266	498.187358063	
54	0.632898264	2.637862773	31.895245335	0.632057067	2.693949457	31.894714974	0.628597178	2.709543702	498.108671400	
55	0.632284056	2.694239536	31.886096596	0.631242574	2.750456755	31.891930575	0.627789351	2.766619625	498.065186665	
56	0.631362745	2.750616299	31.883047017	0.630388023	2.806659471	31.891267623	0.626940000	2.823211300	498.054833157	
57	0.630134329	2.806993062	31.886096596	0.629546826	2.862383558	31.892726117	0.626102251	2.879132337	498.077610875	
58	0.629520121	2.863703415	31.898294915	0.628692276	2.917570999	31.894449793	0.625251015	2.934484102	498.104529997	
59	0.628905913	2.918745817	31.901344495	0.627824373	2.972149275	31.894582383	0.624387759	2.989366340	498.106600698	
60	0.627677497	2.973121038	31.895245335	0.627009880	3.026161898	31.894449793	0.623577829	3.043704500	498.104529997	
61	0.627063289	3.026829078	31.892195756	0.626061863	3.079681387	31.894184612	0.622635210	3.097559995	498.100388593	
62	0.626141978	3.080203529	31.895245335	0.625073790	3.132794767	31.894184612	0.621652544	3.150981716	498.100388593	
63	0.625220666	3.132910798	31.886096596	0.624072364	3.185618068	31.895510516	0.620655561	3.203978479	498.121095610	
64	0.624606458	3.185951658	31.895245335	0.623017529	3.238136786	31.896571240	0.619605671	3.256691585	498.137661223	
65	0.622456730	3.238992518	31.901344495	0.621976046	3.290350922	31.896969011	0.618569581	3.309163645	498.143873328	
66	0.621842522	3.290699016	31.901344495	0.620894506	3.342216964	31.898294915	0.617492930	3.361186515	498.164580345	
67	0.620921210	3.342739105	31.898294915	0.619786261	3.393604376	31.900416362	0.616389107	3.412638625	498.197711571	
68	0.620307003	3.394112014	31.892195756	0.618678016	3.444440639	31.903200761	0.615284774	3.463457717	498.241196306	
69	0.618771483	3.445818512	31.895245335	0.617489658	3.494711249	31.906382931	0.614100467	3.513655408	498.290893146	
70	0.617235963	3.495857059	31.907443654	0.616261242	3.544416206	31.908902149	0.612876845	3.563348456	498.330236477	
71	0.616314651	3.545228426	31.922691553	0.614952712	3.593555509	31.909432511	0.611575092	3.612690186	498.338519284	
72	0.615086236	3.593932611	31.916592393	0.613644182	3.642027632	31.907178473	0.610275485	3.661679066	498.303317355	
73	0.613857820	3.642636797	31.907443654	0.612295595	3.689934102	31.902537809	0.608937868	3.710383674	498.230842798	
74	0.612322300	3.691340983	31.901344495	0.610906951	3.737216903	31.897234192	0.607560907	3.758553354	498.148014731	
75	0.610786780	3.738710808	31.898294915	0.609478250	3.783803516	31.893919431	0.606142568	3.805801437	498.096247190	
76	0.609558365	3.784412681	31.889146176	0.608036197	3.829853483	31.893521660	0.604708710	3.852167168	498.090035085	
77	0.608022845	3.830448144	31.883047017	0.606567439	3.875337797	31.895643107	0.603246374	3.897657227	498.123166311	
78	0.606794429	3.876150017	31.889146176	0.605005215	3.920343481	31.900151181	0.601689279	3.942364908	498.193570168	
79	0.604951805	3.920517528	31.901344495	0.603336172	3.964957560	31.903598532	0.600026773	3.986798752	498.247408411	
80	0.603723390	3.965885811	31.910493234	0.601560310	4.008947969	31.905189617	0.598259450	4.030830461	498.272256831	
81	0.601880766	4.009919733	31.910493234	0.599624220	4.052213183	31.905454798	0.596333784	4.074297971	498.276398234	
82	0.599731038	4.053620064	31.919641973	0.597554606	4.094666176	31.903863713	0.594276721	4.117187654	498.251549814	
83	0.597581311	4.096319624	31.895245335	0.595364821	4.136161910	31.904924436	0.592098156	4.158773354	498.268115427	
84	0.595738687	4.137684823	31.889146176	0.593121627	4.176685881	31.911023596	0.589862730	4.198716206	498.363367703	
85	0.593281855	4.178049251	31.901344495	0.590838376	4.216223586	31.920967877	0.587584653	4.237142055	498.518670328	
86	0.590517920	4.217412908	31.910493234	0.588501716	4.254833038	31.934359510	0.585250977	4.274149954	498.727811195	
87	0.588368192	4.256442974	31.934889872	0.585978122	4.292398209	31.947088191	0.582731976	4.310167685	498.926598554	
88	0.586525569	4.293805089	31.959286509	0.583280949	4.328861080	31.955441387	0.580043640	4.345645249	499.057052758	
89	0.584068737	4.330500024	31.974534408	0.580370137	4.363946079	31.958623557	0.577146671	4.380430072	499.106749598	
90	0.580997698	4.366527778	31.965385669	0.577085460	4.397334118	31.957165063	0.573881291	4.414145677	499.083971880	
91	0.577005346	4.400220399	31.959286509	0.573533737	4.428923670	31.952789579	0.570352431	4.446464797	499.015638725	
92	0.573934307	4.432578660	31.950137770	0.569648204	4.458468169	31.948016324	0.566491858	4.476795074	498.941093465	
93	0.570556164	4.461601017	31.944038611	0.565388806	4.485880590	31.945231925	0.562258033	4.504712780	498.897608731	
94	0.565642500	4.488621833	31.940989031	0.560875713	4.511160935	31.944303792	0.557770583	4.530230875	498.883113819	
95	0.561650149	4.514308287	31.940989031	0.555962050	4.534193170	31.944966744	0.552883661	4.553265978	498.893467327	
96	0.556429382	4.537659609	31.944038611	0.550647816	4.554817754	31.945099334	0.547598761	4.573958333	498.895538029	
97	0.550901511	4.558675798	31.947088191	0.545066536	4.572889647	31.944701563	0.542048657	4.592163349	498.889325924	
98	0.545680744	4.577023266	31.950137770	0.539084685	4.588379840	31.942712707	0.536101270	4.608005722	498.858265399	
99	0.539845769	4.593035601	31.950137770	0.532755674	4.601172304	31.937939451	0.529810472	4.621543508	498.783720139	
100	0.533089482	4.604711262	31.934889872	0.526159615	4.611528107	31.932238063	0.523254638	4.632772178	498.694679968	
101	0.526640299	4.614385381	31.934889872	0.519376623	4.619911377	31.925873723	0.516513241	4.642119277	498.595286289	
102	0.519576909	4.623058729	31.928790712	0.512446756	4.626670207	31.918846431	0.509626096	4.649934107	498.485539101	
103	0.512206414	4.628062584	31.913542814	0.505343308	4.632036660	31.911156186	0.502566623	4.656449427	498.365438405	
104	0.505143023	4.632399258	31.910493234	0.498173099	4.636054247	31.901079314	0.495442112	4.661960338	498.208065079	
105	0.499000944	4.637736703	31.910493234	0.490869366	4.638955033	31.888483224	0.488186183	4.666719980	498.011348422	
106	0.491630450	4.642740557	31.901344495	0.483538928	4.640884055	31.874163458	0.480904514	4.670757987	497.787712643	
107	0.482724435	4.642740557	31.873898277	0.476448833	4.642406967	31.859445921	0.473861862	4.674449077	497.557864760	
108	0.475968148	4.640739016	31.852551219	0.469425499	4.644089423	31.846054289	0.466884571	4.678109517	497.348723892	
109	0.468597654	4.642406967	31.837303321	0.462869498	4.646279516	31.837833683	0.460368844	4.681524122	497.220340390	
110	0.462148471	4.643741328	31.828154582	0.456807533	4.649934505	31.838098863	0.454339477	4.685167813	497.224481793	
111	0.456927704	4.648078002	31.825105002	0.450718863	4.654735305	31.846452060	0.448278965	4.688774820	497.354935997	
112	0.449557209	4.653081857	31.825105002	0.444696955	4.660029238	31.862628092	0.442280608	4.691724361	497.607561599	
113	0.445564858	4.658419302	31.849501640	0.438461410	4.665410195	31.883312197	0.436067546	4.694094674	497.930591058	
114	0.440344091	4.668427012	31.886096596	0.431918761	4.670152979	31.904261484	0.429549255	4.695781203	498.257761919	
115	0.432052284	4.673097276	31.913542814	0.425295998	4.673996519	31.923884867	0.422952353	4.696756997	498.564225764	
116	0.424681790	4.675765998	31.937939451	0.418379483	4.676679746	31.937674271	0.416066719	4.697424254	498.779578736	
117	0.417925503	4.676766769	31.947088191	0.411396206	4.678144642	31.944701563	0.409118422	4.697861971	498.889325924	
118	0.412090528	4.679769082	31.947088191	0.404466339	4.678898847	31.946690419	0.402225915	4.698326840	498.920386449	
119	0.405027137	4.681103443	31.959286509	0.397456357	4.679029382	31.943773430	0.395256217	4.698886963	498.874831012	
120	0.397042435	4.679101902	31.950137770	0.390473081	4.678811823	31.937674271	0.388314581	4.699565789	498.779578736	
121	0.390286148	4.678101131	31.937939451	0.383543213	4.678637776	31.931044749	0.381426209	4.700366657	498.676043653	
122	0.383529861	4.678768311	31.928790712	0.376746870	4.678623272	31.924017457	0.374670698	4.701386753	498.566296466	
123	0.376159366	4.678101131	31.922691553	0.370070697	4.678826327	31.918581250	0.368033840	4.702391547	498.481397698	
124	0.369710184	4.676766769	31.910493234	0.363528048	4.679479004	31.915531670	0.361528592	4.703496894	498.433771560	
125	0.363875209	4.680102673	31.913542814	0.357038808	4.680291224	31.913940585	0.355075757	4.704547819	498.408923140	
126	0.357426026	4.681437034	31.913542814	0.350549568	4.681045428	31.913542814	0.348622371	4.705364579	498.402711035	
127	0.349748427	4.679769082	31.913542814	0.344247261	4.682191238	31.915001308	0.342354081	4.706301257	498.425488753	
128	0.344220556	4.681770624	31.913542814	0.337878192	4.683046970	31.916724984	0.336019308	4.706907183	498.452407875	
129	0.338078477	4.684105756	31.913542814	0.331562533	4.683844686	31.918713840	0.329737568	4.707415626	498.483468399	
130	0.331015086	4.683104985	31.916592393	0.325380397	4.684816449	31.921100468	0.323588486	4.708040250	498.520741029	
131	0.326101423	4.686107298	31.925741133	0.319131499	4.685599661	31.922956734	0.317373258	4.708553534	498.549730852	
132	0.318730929	4.684772937	31.925741133	0.312895954	4.686136306	31.924282638	0.311171547	4.708897226	498.570437869	
133	0.312895954	4.686440888	31.922691553	0.306767227	4.686817991	31.925475952	0.305076138	4.709406187	498.589074184	
134	0.306446771	4.686774479	31.925741133	0.300558387	4.687412652	31.926536675	0.298901124	4.709847229	498.605639797	
135	0.300918900	4.688442430	31.925741133	0.294429660	4.687978305	31.927729989	0.292805750	4.710239535	498.624276112	
136	0.294162613	4.686440888	31.925741133	0.288300933	4.688587470	31.929055893	0.286710347	4.710655968	498.644983129	
137	0.288634742	4.688776021	31.928790712	0.282132150	4.689109611	31.929718845	0.280575363	4.711082749	498.655336637	
138	0.281878455	4.690110382	31.934889872	0.276016776	4.689486713	31.930116617	0.274493595	4.711402925	498.661548742	
139	0.276043480	4.689443201	31.931840292	0.269888049	4.690023358	31.930514388	0.268398555	4.711883380	498.667760847	
140	0.269901401	4.690110382	31.928790712	0.263652504	4.690037862	31.929851436	0.262197642	4.711995783	498.657407339	
141	0.263452219	4.689776792	31.925741133	0.257550482	4.689950839	31.928127760	0.256129849	4.712162730	498.630488217	
142	0.258231452	4.690777563	31.931840292	0.251354994	4.689660760	31.925608542	0.249969329	4.712243087	498.591144886	
143	0.251168061	4.691444743	31.934889872	0.245346438	4.689283658	31.922293782	0.243994917	4.712353441	498.539377344	
144	0.244411774	4.687775250	31.922691553	0.239484759	4.689283658	31.919774564	0.238166284	4.712725356	498.500034013	
145	0.239498111	4.688776021	31.913542814	0.233609727	4.689501217	31.918448659	0.232323985	4.713139780	498.479326996	
146	0.233048928	4.687441659	31.910493234	0.227868218	4.689979847	31.918448659	0.226614077	4.713620822	498.479326996	
147	0.228749473	4.689776792	31.913542814	0.222100005	4.690545500	31.919907154	0.220877204	4.713973925	498.502104714	
148	0.222300290	4.691778334	31.922691553	0.216251677	4.691067641	31.921630830	0.215060608	4.714244105	498.529023836	
149	0.216158211	4.692779104	31.928790712	0.210416703	4.691285200	31.922691553	0.209257491	4.714306087	498.545589449	
150	0.210016132	4.691778334	31.925741133	0.204514966	4.691154665	31.922293782	0.203388370	4.714233652	498.539377344	
151	0.204488261	4.689109611	31.919641973	0.198760105	4.690908098	31.920570106	0.197665640	4.714240423	498.512458223	
152	0.198960390	4.692445514	31.919641973	0.193125415	4.690763059	31.918846431	0.192062395	4.714349232	498.485539101	
153	0.192818311	4.690443972	31.922691553	0.187477373	4.690690539	31.916990165	0.186445878	4.714550526	498.456549278	
154	0.186983336	4.690443972	31.916592393	0.181882740	4.690777563	31.915399080	0.180882390	4.714873032	498.431700858	
155	0.182069673	4.689109611	31.910493234	0.176274755	4.690748555	31.914205766	0.175305512	4.715020169	498.413064543	
156	0.177156010	4.692779104	31.916592393	0.170600008	4.690705043	31.912747271	0.169662280	4.715191919	498.390286825	
157	0.170092619	4.690777563	31.913542814	0.164938614	4.690284429	31.910228053	0.164032526	4.715141326	498.350943494	
158	0.164871852	4.690443972	31.910493234	0.159384038	4.690037862	31.907443654	0.158509021	4.715304897	498.307458759	
159	0.159343981	4.690110382	31.910493234	0.153829463	4.689776792	31.904394075	0.152985529	4.715493107	498.259832621	
160	0.153509006	4.690443972	31.910493234	0.148501877	4.689776792	31.901874857	0.147687641	4.715865479	498.220489289	
161	0.147674031	4.686440888	31.892195756	0.143281110	4.690226413	31.901609676	0.142495547	4.716356806	498.216347886	
162	0.143988784	4.689776792	31.892195756	0.137993581	4.690821074	31.902802990	0.137236801	4.716778344	498.234984201	
163	0.137846705	4.692111924	31.901344495	0.132772814	4.691401231	31.905322208	0.132044246	4.716989232	498.274327532	
164	0.132933042	4.692111924	31.907443654	0.127525342	4.692184443	31.908902149	0.126824996	4.717247417	498.330236477	
165	0.127712275	4.692111924	31.913542814	0.122197756	4.692590553	31.911553957	0.121526261	4.717263665	498.371650510	
166	0.121877300	4.692111924	31.910493234	0.116990342	4.692953152	31.913145042	0.116347228	4.717392964	498.396498930	
167	0.116963637	4.693112695	31.916592393	0.111782927	4.693417277	31.914736128	0.111168217	4.717624301	498.421347350	
168	0.111435766	4.693779875	31.913542814	0.106628921	4.693910411	31.916857574	0.106042270	4.717806375	498.454478576	
169	0.106829207	4.693112695	31.913542814	0.101528326	4.694418048	31.920172335	0.100969314	4.717826621	498.506246118	
170	0.101608440	4.694447056	31.913542814	0.096401025	4.694838662	31.923487095	0.095869844	4.717759415	498.558013659	
171	0.096387673	4.695447827	31.925741133	0.091233667	4.695099733	31.926404085	0.090730625	4.717590694	498.603569095	
172	0.091166905	4.695781417	31.931840292	0.086106367	4.695273780	31.927995170	0.085631423	4.717530472	498.628417515	
173	0.086253242	4.695114237	31.934889872	0.080992418	4.695273780	31.928127760	0.080545669	4.717510881	498.630488217	
174	0.081032475	4.695447827	31.928790712	0.075865118	4.695070725	31.926006313	0.075446852	4.717620324	498.597356991	
175	0.075197500	4.695114237	31.925741133	0.070898045	4.694896678	31.923619686	0.070507377	4.717798119	498.560084361	
176	0.071205149	4.695114237	31.922691553	0.065890916	4.694766142	31.921365649	0.065528024	4.718000072	498.524882433	
177	0.065984382	4.694780646	31.922691553	0.060883786	4.694635607	31.919509383	0.060548613	4.718143257	498.495892609	
178	0.060456511	4.693779875	31.913542814	0.055876656	4.694229497	31.916990165	0.055569225	4.718107485	498.456549278	
179	0.056464160	4.694780646	31.919641973	0.050816118	4.693721860	31.912879862	0.050536791	4.718204881	498.392357527	
180	0.050936289	4.694780646	31.919641973	0.045822340	4.693170710	31.907974016	0.045570746	4.718376195	498.315741565	
181	0.045715522	4.694780646	31.916592393	0.040908677	4.692518034	31.903200761	0.040684307	4.718425863	498.241196306	
182	0.039880547	4.690110382	31.898294915	0.036115185	4.692169940	31.898560096	0.035917316	4.718762242	498.168721748	
183	0.036195299	4.691111153	31.886096596	0.031495274	4.692358491	31.897366782	0.031322763	4.719128403	498.150085433	
184	0.031588740	4.692111924	31.892195756	0.026915419	4.692880632	31.898957867	0.026767940	4.719418112	498.174933853	
185	0.026675077	4.691778334	31.898294915	0.022429031	4.693866899	31.903598532	0.022306004	4.719723330	498.247408411	
186	0.022375622	4.693112695	31.895245335	0.018129576	4.695259276	31.910758415	0.018029969	4.720064089	498.359226300	
187	0.018383270	4.696448598	31.913542814	0.013856825	4.697014251	31.919641973	0.013780539	4.720514203	498.497963311	
188	0.013162503	4.696782188	31.919641973	0.009544018	4.698899762	31.929851436	0.009491353	4.720899172	498.657407339	
189	0.008555944	4.695781417	31.925741133	0.005231210	4.700872296	31.941784574	0.005202266	4.721116519	498.843770487	
190	0.007020425	4.701118862	31.931840292	0.000624651	4.702453224	31.953187350	0.000621186	4.721018917	499.021850830	
191	0.001799657	4.706122717	31.959286509	-0.004048670	4.703526514	31.962866451	-0.004026161	4.720666484	499.173012051	
192	-0.004649525	4.705121946	31.971484828	-0.008695286	4.704353238	31.969893743	-0.008646868	4.720458390	499.282759238	
193	-0.009256085	4.704121175	31.980633567	-0.013515483	4.704585301	31.974401818	-0.013440149	4.720025676	499.353163095	
194	-0.014169748	4.703787585	31.977583988	-0.018188804	4.704237207	31.974401818	-0.018087421	4.719676440	499.353163095	
195	-0.017854995	4.704121175	31.974534408	-0.022755306	4.703845601	31.972147780	-0.022628534	4.719616258	499.317961167	
196	-0.022154450	4.705455536	31.971484828	-0.027310564	4.703489109	31.969237770	-0.027158514	4.719688144	499.272514714	
197	-0.027375217	4.704788356	31.977583988	-0.032194387	4.702273598	31.965151086	-0.032015311	4.719071693	499.208691833	
198	-0.032288880	4.701452453	31.962336089	-0.036895440	4.700785272	31.956236930	-0.036690627	4.718894014	499.069476968	
199	-0.036895440	4.700785272	31.956236930	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	

[W/m²] corrected to	
-	


Date	Time	Serial number	Customer	Modul type	Protocol file	File version	
27.09.2016	15:43:49					1.03	

[mm²] Cell area	[°C] T Cell	[%/K] Modul-TkI	[%/K] Modul TkU	[°C] T Monitor Cell	[%/K] Monitor Cell TkI	LoadType	Measurement type	[W/m²] corrected to	Gain monitor mell	Optical class	[W/m²/mV] Calibration value	Spectral mismatch faktor	Correction Type	CellParamTkI_Umpp	CellParamTkU_Umpp	IEC60891_RsType	IEC60891_TkI	IEC60891_TkU	IEC60891_Kfact	MeasureTimeLf	
23590.000000000	22.171234200	0.070000000	-0.200000000	22.291587275	0.065590000	EL3	DR	1000.000000000	100.000000000	0	15.589536000	1.000000000	S	0.070000000	-0.360000000	1.000000000	0.008000000	-2.000000000	0.012500000	19.900000000	

[A]Irev1	[V]Urev1	[A]Irev2	[V]Urev2	[A]Irevmax	[V]Urefmax	
0.690050680	-5.000000000	-	-	10.784805411	-9.791307130	

Ufrom[V]	Uto[V]	Lines	Decimals	Ifrom[A]	Ito[A]	Lines	Decimals	
-16.000000000	0.000000000	16	1	0.000000000	10.000000000	20	1	

Nr	[V]Uraw	[A]Iraw	[mV]Eraw	[V]Uflt	[A]Iflt	[mV]Eflt	[V]Ucor	[A]Icor	[W/m2]Ecor	
0	-0.102650504	0.001498524	0.005790278	-0.102650504	0.001498524	0.005790278	-0.102650504	0.001498524	0.579027788	
1	-0.103261737	0.001498524	0.011889437	-0.123573485	0.003243458	0.009074441	-0.123573485	0.003243458	0.907444065	
2	-0.169886150	0.007169560	0.008839858	-0.208715540	0.006519936	0.006753303	-0.208715540	0.006519936	0.675330305	
3	-0.284797982	0.009504692	0.002740698	-0.321897176	0.009968817	0.006453230	-0.321897176	0.009968817	0.645322999	
4	-0.418658041	0.013174185	0.002740698	-0.437021611	0.013493272	0.006055459	-0.437021611	0.013493272	0.605545872	
5	-0.562909064	0.016843679	0.005790278	-0.570562766	0.017481852	0.006320640	-0.570562766	0.017481852	0.632063957	
6	-0.710827486	0.021180353	0.011889437	-0.713591323	0.021702494	0.006453230	-0.713591323	0.021702494	0.645322999	
7	-0.859357141	0.025517027	0.002740698	-0.860526456	0.026416270	0.007116182	-0.860526456	0.026416270	0.711618210	
8	-1.009109262	0.030520882	0.011889437	-1.009162413	0.031637684	0.007646544	-1.009162413	0.031637684	0.764654379	
9	-1.158250150	0.036859098	0.002740698	-1.158303301	0.037366735	0.007381363	-1.158303301	0.037366735	0.738136295	
10	-1.307391038	0.042863723	0.011889437	-1.307364463	0.043588920	0.006851001	-1.307364463	0.043588920	0.685100126	
11	-1.457143159	0.049869120	0.005790278	-1.456372474	0.050376757	0.006851001	-1.456372474	0.050376757	0.685100126	
12	-1.606284047	0.056540926	0.005790278	-1.605247609	0.057715744	0.006188049	-1.605247609	0.057715744	0.618804915	
13	-1.752980003	0.064547094	0.002740698	-1.753910140	0.065678400	0.006188049	-1.753910140	0.065678400	0.618804915	
14	-1.902120891	0.073220442	0.008839858	-1.902625823	0.074308236	0.005922868	-1.902625823	0.074308236	0.592286830	
15	-2.051873012	0.082560971	0.005790278	-2.051208628	0.083634261	0.005922868	-2.051208628	0.083634261	0.592286830	
16	-2.199791434	0.092902270	0.005790278	-2.199631982	0.093728994	0.005657687	-2.199631982	0.093728994	0.565768746	
17	-2.348932322	0.103243570	0.005790278	-2.348002185	0.104519915	0.005657687	-2.348002185	0.104519915	0.565768746	
18	-2.496239511	0.114919231	0.005790278	-2.496186360	0.116079545	0.004994735	-2.496186360	0.116079545	0.499473535	
19	-2.644157932	0.127262073	0.002740698	-2.644157932	0.128378875	0.004729555	-2.644157932	0.128378875	0.472955450	
20	-2.791465121	0.140272095	0.005790278	-2.792049779	0.141504929	0.004729555	-2.792049779	0.141504929	0.472955450	
21	-2.940606009	0.154282888	0.002740698	-2.939888474	0.155602745	0.004994735	-2.939888474	0.155602745	0.499473535	
