Date	Time	Serial number	Customer	Modul type	Protocol file	File version	
27.09.2016	15:43:49					1.03	

[mm²] Cell area	[°C] T Cell	[%/K] Modul-TkI	[%/K] Modul TkU	[°C] T Monitor Cell	[%/K] Monitor Cell TkI	LoadType	Measurement type	[W/m²] corrected to	Gain monitor mell	Optical class	[W/m²/mV] Calibration value	Spectral mismatch faktor	Correction Type	CellParamTkI_Umpp	CellParamTkU_Umpp	IEC60891_RsType	IEC60891_TkI	IEC60891_TkU	IEC60891_Kfact	MeasureTimeLf	
23590.000000000	22.171234200	0.070000000	-0.200000000	22.291587275	0.065590000	EL3	LF2	1000.000000000	100.000000000	0	15.589536000	1.000000000	S	0.070000000	-0.360000000	1.000000000	0.008000000	-2.000000000	0.012500000	19.900000000	

[A]Isc	[V]Uoc	[A]Impp	[V]Umpp	[W]Pmpp	[%]Eta	[%]FF	[Ohm]Rser	[Ohm]Rshunt	[W/m²]Irrad.	
9.439855146	0.672832639	8.742189700	0.575808166	5.033824220	21.338805511	79.254816506	0.004029179	48.378290829	995.302736411	

Ufrom[V]	Uto[V]	Lines	Decimals	Ifrom[A]	Ito[A]	Lines	Decimals	
0.000000000	1.000000000	10	1	0.000000000	10.000000000	10	1	

Nr	[V]Uraw	[A]Iraw	[mV]Eraw	[V]Uflt	[A]Iflt	[mV]Eflt	[V]Ucor	[A]Icor	[W/m2]Ecor	
41	-1.100089297	9.397069707	63.644419726	-1.068617819	9.396924668	63.646143402	-1.062838521	9.472597632	993.979596796	
42	-1.067843383	9.398070478	63.650518886	-1.037800606	9.394966637	63.644419726	-1.032188986	9.470880326	993.952677675	
43	-1.038361404	9.394400984	63.644419726	-1.007130268	9.392863568	63.640574604	-1.001686684	9.469332360	993.892627327	
44	-1.005501282	9.395401755	63.647469306	-0.976740330	9.390542940	63.635005806	-0.971464086	9.467821310	993.805657857	
45	-0.976633511	9.392065852	63.644419726	-0.946483915	9.388222312	63.628508876	-0.941374597	9.466448078	993.704193476	
46	-0.946844428	9.385060456	63.626122248	-0.916200796	9.386800927	63.624663753	-0.911256949	9.465586863	993.644143128	
47	-0.916134034	9.384726865	63.610874349	-0.886131314	9.386133746	63.625194115	-0.881349456	9.464835186	993.652425935	
48	-0.886652055	9.383392504	63.610874349	-0.855941661	9.386438329	63.630365141	-0.851320209	9.464373122	993.733183299	
49	-0.855327453	9.385727636	63.620023089	-0.825872179	9.387613147	63.641104966	-0.821408055	9.463960324	993.900910133	
50	-0.825538370	9.387395588	63.638320567	-0.796083096	9.388729949	63.654629189	-0.791773894	9.463075233	994.112121702	
51	-0.795749288	9.390397901	63.659667625	-0.766627822	9.388787965	63.664838651	-0.762473630	9.461616175	994.271565730	
52	-0.765960205	9.390397901	63.668816364	-0.737466300	9.387990249	63.670805220	-0.733467636	9.459925701	994.364747304	
53	-0.736478226	9.391398672	63.687113842	-0.708558472	9.386177258	63.670672630	-0.704716604	9.458118514	994.362676603	
54	-0.708224663	9.389730720	63.693213002	-0.679717406	9.383929149	63.666297146	-0.676033601	9.456503031	994.294343448	
55	-0.680892412	9.380056601	63.662717205	-0.650943101	9.382217686	63.662186843	-0.647416757	9.455388772	994.230151697	
56	-0.650796226	9.380056601	63.650518886	-0.622409139	9.380346679	63.656750636	-0.619039287	9.454310491	994.145252929	
57	-0.622235559	9.377721469	63.641370147	-0.593888529	9.378968806	63.652640332	-0.590674477	9.453532167	994.081061178	
58	-0.592446476	9.381390962	63.656618045	-0.565354567	9.378461169	63.651977380	-0.562295149	9.453118949	994.070707669	
59	-0.565114225	9.381724552	63.668816364	-0.536940776	9.378359641	63.653568465	-0.534034635	9.452780326	994.095556089	
60	-0.538396182	9.374385566	63.644419726	-0.508620451	9.378751247	63.658872082	-0.505866064	9.452387466	994.178384155	
61	-0.509221307	9.374051975	63.638320567	-0.480447003	9.378809263	63.664706061	-0.477843599	9.451579753	994.269495028	
62	-0.479125120	9.378722240	63.653568465	-0.452380372	9.378910791	63.670805220	-0.449927492	9.450776672	994.364747304	
63	-0.450564453	9.385727636	63.684064263	-0.424460618	9.378954302	63.677699922	-0.422157466	9.449797230	994.472423790	
64	-0.425074826	9.381724552	63.699312161	-0.396620978	9.379041326	63.684196853	-0.394467427	9.448920853	994.573888171	
65	-0.397435471	9.374051975	63.681014683	-0.369128499	9.379157357	63.691091555	-0.367122785	9.448014869	994.681564658	
66	-0.369181908	9.375719927	63.674915523	-0.341809600	9.378751247	63.695997401	-0.339951378	9.446878126	994.758180619	
67	-0.340928345	9.378388649	63.684064263	-0.314504053	9.378939798	63.700903246	-0.312793403	9.446340493	994.834796580	
68	-0.312674782	9.384059685	63.711510480	-0.287639134	9.379055830	63.705941682	-0.286073788	9.445710248	994.913483243	
69	-0.288106467	9.381724552	63.729807958	-0.260961148	9.378200098	63.707002406	-0.259540828	9.444691178	994.930048856	
70	-0.261388423	9.374719156	63.705411321	-0.234296514	9.377692461	63.707400177	-0.233021268	9.444120974	994.936260961	
71	-0.233749068	9.377721469	63.702361741	-0.207872223	9.376836729	63.706206863	-0.206740941	9.443436067	994.917624646	
72	-0.208259441	9.377387878	63.705411321	-0.181247646	9.376575658	63.705543911	-0.180261328	9.443271413	994.907271138	
73	-0.181541398	9.373051204	63.693213002	-0.154810002	9.377213831	63.710051985	-0.153967158	9.443245881	994.977674994	
74	-0.153594939	9.378722240	63.711510480	-0.128666110	9.377141312	63.714427469	-0.127965285	9.442524356	995.046008149	
75	-0.128719519	9.376720698	63.711510480	-0.102495513	9.377445894	63.719068134	-0.101936966	9.442143340	995.118482707	
76	-0.101694372	9.379389420	63.720659219	-0.076645372	9.377808492	63.724636932	-0.076227454	9.441683274	995.205452176	
77	-0.077126056	9.378722240	63.735907118	-0.051062278	9.377184823	63.726758379	-0.050783793	9.440741067	995.238583403	
78	-0.051022221	9.374051975	63.723708799	-0.025412423	9.376923753	63.728216873	-0.025273807	9.440262170	995.261361121	
79	-0.024304178	9.379055830	63.726758379	0.000023796	9.376909249	63.730868682	0.000023666	9.439854764	995.302775154	
80	-0.000042966	9.378722240	63.735907118	0.025313138	9.376517643	63.732592357	0.025175001	9.439205235	995.329694276	
81	0.024525349	9.373051204	63.726758379	0.050615832	9.377054288	63.736702660	0.050339498	9.439136711	995.393886027	
82	0.051243393	9.374385566	63.723708799	0.075624775	9.377590933	63.743597362	0.075211611	9.438655885	995.501562513	
83	0.076733020	9.382058143	63.751155016	0.100366671	9.377300855	63.748370617	0.099818063	9.437657205	995.576107773	
84	0.099765816	9.375386336	63.748105436	0.125121920	9.377344367	63.753011282	0.124437670	9.437014015	995.648582331	
85	0.126176755	9.379723011	63.754204596	0.149423189	9.376648178	63.756458633	0.148605752	9.435803169	995.702420574	
86	0.149823759	9.379723011	63.772502074	0.173470763	9.374530605	63.754337186	0.172521979	9.433986145	995.669289347	
87	0.172856555	9.372717614	63.754204596	0.197758679	9.373080212	63.751420197	0.196677381	9.432958145	995.623733911	
88	0.198653286	9.373384795	63.751155016	0.221699434	9.371368749	63.749033569	0.220487533	9.431588834	995.586461281	
89	0.221378978	9.372050433	63.751155016	0.245560076	9.369207664	63.745321038	0.244218257	9.429963032	995.528481635	
90	0.244718878	9.366045808	63.735907118	0.269554240	9.368047350	63.745188447	0.268081330	9.428814805	995.526410933	
91	0.271129817	9.369048121	63.735907118	0.293081073	9.366582453	63.748105436	0.291479123	9.426909030	995.571966369	
92	0.293548405	9.369381711	63.754204596	0.316340859	9.364218313	63.751022426	0.314611252	9.424098435	995.617521806	
93	0.315966993	9.361709134	63.745055857	0.339320245	9.361128977	63.753806825	0.337464464	9.420577889	995.661006541	
94	0.340842413	9.365045037	63.754204596	0.361738833	9.356371689	63.754734958	0.359760252	9.415653315	995.675501452	
95	0.362646793	9.362042724	63.769452494	0.383810260	9.349641867	63.752215740	0.381711503	9.409252653	995.636158121	
96	0.383836965	9.352702195	63.763353335	0.405360946	9.341142566	63.748105436	0.403145286	9.401305294	995.571966369	
97	0.405641345	9.340692944	63.742006277	0.426230662	9.329887518	63.744658086	0.423901761	9.390485573	995.518128126	
98	0.428059933	9.334688318	63.735907118	0.446299237	9.315369088	63.743464772	0.443860984	9.376048366	995.499491811	
99	0.448328793	9.322345477	63.738956697	0.465339682	9.296513983	63.745586218	0.462796847	9.356759039	995.532623038	
100	0.466447926	9.304998780	63.732857538	0.483125006	9.271828300	63.752746101	0.480483029	9.330865343	995.644440927	
101	0.485488371	9.282314639	63.748105436	0.499308048	9.239571567	63.761497069	0.496575105	9.297127058	995.781107237	
102	0.502071984	9.254293053	63.766402915	0.513955571	9.198830037	63.769054723	0.511140260	9.255034739	995.899137231	
103	0.516812973	9.213928625	63.772502074	0.527080927	9.149125080	63.775419063	0.524191823	9.204107489	995.998530910	
104	0.529404235	9.162555716	63.784700393	0.538563944	9.090558224	63.778468643	0.535610970	9.144751392	996.046157048	
105	0.540152873	9.103176641	63.784700393	0.548738431	9.023521075	63.779794547	0.545729259	9.077125896	996.066864065	
106	0.550594407	9.034790626	63.778601234	0.557711207	8.948985396	63.780457500	0.554652622	9.002053861	996.077217573	
107	0.559500421	8.958398444	63.775551654	0.565602443	8.868009973	63.780324909	0.562500623	8.920616790	996.075146872	
108	0.566563812	8.876001637	63.775551654	0.572692539	8.781349011	63.778336053	0.569552479	8.833717199	996.044086347	
109	0.573934307	8.788600975	63.787749973	0.578981493	8.689858242	63.774623521	0.575808166	8.742189700	995.986106700	
110	0.580076386	8.695529277	63.784700393	0.584602831	8.594465916	63.769717675	0.581400314	8.646888069	995.909490739	
111	0.584990049	8.599455267	63.778601234	0.589716779	8.495737687	63.764148878	0.586488103	8.548304140	995.822521270	
112	0.590517920	8.499378173	63.751155016	0.594309986	8.394253712	63.760303755	0.591057454	8.446701599	995.762470922	
113	0.595124479	8.396965947	63.748105436	0.598489270	8.290536133	63.760038575	0.595213955	8.342370681	995.758329518	
114	0.599116830	8.293552949	63.754204596	0.602348098	8.184875027	63.763485925	0.599050492	8.235603676	995.812167761	
115	0.602494974	8.187471230	63.760303755	0.605859765	8.077632993	63.769982856	0.602540710	8.126868916	995.913632142	
116	0.606180221	8.079721558	63.769452494	0.609064328	7.969143621	63.775286473	0.605725892	8.017051503	995.996460209	
117	0.609558365	7.970303936	63.778601234	0.612015196	7.859479432	63.778203462	0.608659577	7.906366423	996.042015645	
118	0.612629404	7.860552722	63.790799552	0.614725722	7.748857983	63.780059728	0.611354597	7.794858174	996.071005468	
119	0.615086236	7.749800738	63.787749973	0.617235963	7.637525842	63.781385632	0.613850610	7.682705410	996.091712485	
120	0.617235963	7.639382344	63.772502074	0.619585976	7.525468504	63.782048585	0.616187502	7.569906517	996.102065993	
121	0.619692795	7.526295228	63.766402915	0.621775761	7.412860018	63.783772260	0.618364670	7.456431570	996.128985115	
122	0.621842522	7.412874522	63.787749973	0.623898784	7.299932445	63.788147744	0.620474504	7.342336552	996.197318269	
123	0.624299354	7.300454586	63.799948292	0.625928340	7.186627769	63.793583951	0.622490999	7.227757739	996.282217037	
124	0.626141978	7.186700289	63.784700393	0.627864430	7.073308590	63.799417930	0.624414389	7.113139517	996.373327910	
125	0.627677497	7.073279582	63.787749973	0.629693701	6.960090939	63.802467510	0.626232524	6.998949773	996.420954048	
126	0.629827225	6.960192466	63.815196190	0.631429506	6.846786263	63.802600100	0.627958741	6.884998199	996.423024750	
127	0.631669849	6.846104579	63.818245770	0.633045140	6.733641131	63.802069738	0.629565683	6.771277890	996.414741943	
128	0.633512472	6.733351053	63.809097031	0.634567308	6.620568519	63.800876425	0.631079912	6.657697795	996.396105628	
129	0.634433784	6.621264707	63.787749973	0.635996008	6.507510410	63.799948292	0.632501095	6.544100837	996.381610717	
130	0.636276408	6.507176820	63.787749973	0.637357948	6.394684365	63.800213472	0.633855454	6.430613665	996.385752120	
131	0.637197720	6.394423294	63.796898712	0.638693182	6.282046870	63.802865281	0.635182395	6.317080738	996.427166153	
132	0.638733239	6.281336178	63.809097031	0.639988360	6.169888005	63.807373355	0.636468824	6.203858041	996.497570009	
133	0.639961655	6.168916242	63.815196190	0.641190071	6.058555864	63.811748839	0.637662343	6.091495216	996.565903164	
134	0.641497175	6.057163487	63.802997871	0.642378430	5.948209990	63.814931009	0.638843009	5.980251186	996.615600004	
135	0.642725591	5.945744322	63.812146610	0.643473322	5.839183973	63.817317637	0.639931009	5.870418330	996.652872633	
136	0.643339798	5.836993880	63.821295350	0.644568214	5.731535829	63.819836855	0.641018957	5.761966910	996.692215965	
137	0.644261110	5.729244209	63.830444089	0.645596345	5.625367086	63.822488663	0.642040460	5.654999499	996.733629998	
138	0.645796630	5.623162489	63.815196190	0.646597771	5.520460184	63.825007881	0.643035451	5.549320942	996.772973329	
139	0.646717942	5.518748721	63.818245770	0.647519083	5.416467030	63.826201195	0.643951251	5.444682318	996.791609644	
140	0.647946358	5.415335724	63.830444089	0.648373633	5.312923497	63.824742701	0.644801626	5.340721450	996.768831926	
141	0.648253462	5.313590678	63.833493668	0.649174773	5.209336453	63.822488663	0.645599179	5.236777367	996.733629998	
142	0.649481877	5.210177681	63.833493668	0.649949209	5.105517346	63.820632397	0.646370031	5.132560657	996.704640175	
143	0.649481877	5.107098274	63.818245770	0.650683588	5.001219609	63.819969445	0.647100609	5.027762695	996.694286667	
144	0.650710293	5.001683735	63.802997871	0.651444672	4.896457747	63.821162759	0.647857063	4.922352789	996.712922981	
145	0.651631605	4.896269196	63.802997871	0.652165699	4.791434814	63.823151616	0.648573387	4.816624339	996.743983506	
146	0.652552917	4.791855428	63.833493668	0.652860021	4.686324857	63.825670834	0.649262956	4.710775855	996.783326838	
