WL	QE	DSig	MSig	Mcorr	DSD	MSD	RSD	GC
915	9.14E+01	2.71E+00	1.67E+00	9.82E-01	0.085	0.044	0.046	A-A-3
920	9.17E+01	2.19E+00	1.31E+00	9.94E-01	0.094	0.03	0.065	A-A-3
925	9.13E+01	1.12E+00	6.60E-01	9.89E-01	0.082	0.043	0.046	A-A-3
930	9.09E+01	8.73E-01	5.09E-01	9.88E-01	0.069	0.036	0.039	A-A-3
935	9.05E+01	9.95E-01	5.78E-01	9.92E-01	0.044	0.027	0.017	A-A-3
940	9.02E+01	1.47E+00	8.45E-01	9.94E-01	0.116	0.05	0.066	A-A-3
945	8.96E+01	1.47E+00	8.40E-01	9.93E-01	0.092	0.076	0.018	A-A-3
950	8.93E+01	1.54E+00	8.78E-01	9.94E-01	0.133	0.08	0.056	A-A-3
955	8.92E+01	1.26E+00	7.07E-01	9.90E-01	0.206	0.103	0.104	A-A-3
960	8.85E+01	8.82E-01	4.92E-01	9.87E-01	0.008	0.015	0.009	A-A-3
965	8.78E+01	8.27E-01	4.62E-01	9.91E-01	0.156	0.076	0.08	A-B-3
970	8.71E+01	1.05E+00	5.89E-01	9.90E-01	0.173	0.121	0.054	A-A-3
975	8.63E+01	1.40E+00	7.88E-01	9.94E-01	0.136	0.088	0.048	A-A-3
980	8.54E+01	3.59E+00	2.04E+00	9.99E-01	0.233	0.134	0.102	A-A-3
985	8.49E+01	1.30E+00	7.32E-01	9.86E-01	0.066	0.072	0.012	A-A-3
990	8.34E+01	2.47E+00	1.43E+00	9.97E-01	0.14	0.082	0.059	A-A-3
995	8.28E+01	2.57E+00	1.47E+00	9.98E-01	0.09	0.021	0.07	A-A-3
1000	8.33E+01	1.02E+00	5.88E-01	9.87E-01	0.049	0.018	0.052	A-A-3
1005	8.19E+01	7.57E-01	4.48E-01	9.94E-01	0.074	0.032	0.043	A-M-3
1010	8.01E+01	8.13E-01	4.96E-01	1.00E+00	0.127	0.102	0.026	A-A-3
1015	7.85E+01	8.53E-01	5.33E-01	9.95E-01	0.141	0.11	0.032	A-A-3
1020	7.66E+01	6.20E-01	3.96E-01	9.96E-01	0.13	0.085	0.045	A-B-3
1025	7.45E+01	4.76E-01	3.15E-01	9.96E-01	0.14	0.092	0.049	M-B-3
1030	7.26E+01	4.20E-01	2.89E-01	9.95E-01	0.094	0.085	0.009	B-B-3
1035	7.03E+01	3.85E-01	2.77E-01	9.95E-01	0.037	0.031	0.008	B-B-3
1040	6.78E+01	3.50E-01	2.64E-01	9.94E-01	0.097	0.087	0.013	B-B-3
1045	6.49E+01	3.39E-01	2.71E-01	9.96E-01	0.109	0.103	0.008	B-B-3
1050	6.18E+01	3.61E-01	3.09E-01	9.96E-01	0.199	0.192	0.009	B-B-3
1055	5.85E+01	3.65E-01	3.34E-01	9.95E-01	0.029	0.027	0.013	B-B-3
