Wavelength (nm) 	Jph (mA/cm2/nm)
696	0.07098462
697	0.07511778
698	0.07404444
699	0.07260264
700	0.07218612
701	0.07135308
702	0.07154532
703	0.07205796
704	0.07402842
705	0.07490952
706	0.07462116
707	0.0744129
708	0.07428474
709	0.0746532
710	0.0752139
711	0.0752139
712	0.07482942
713	0.07406046
714	0.07479738
715	0.07236234
716	0.0732114
717	0.06382368
718	0.05945022
719	0.05337864
720	0.05706324
721	0.06297462
722	0.07202592
723	0.06653106
724	0.06145272
725	0.06050754
726	0.0631188
727	0.06342318
728	0.060876
729	0.0613566
730	0.0662427
731	0.06291054
732	0.06789276
733	0.07050402
734	0.07293906
735	0.07197786
736	0.0713691
737	0.07135308
738	0.0728109
739	0.07074432
740	0.0725706
741	0.07237836
742	0.07250652
743	0.07410852
744	0.07479738
745	0.07486146
746	0.07479738
747	0.07494156
748	0.07458912
749	0.07442892
750	0.07442892
751	0.07418862
752	0.07455708
753	0.07426872
754	0.07531002
755	0.07518186
756	0.07436484
757	0.07439688
758	0.07494156
759	0.07290702
760	0.0162603
761	0.009421362
762	0.0421326
763	0.02327706
764	0.03309732
765	0.04219668
766	0.05017464
767	0.060075
768	0.06878988
769	0.06973506
770	0.07186572
771	0.07244244
772	0.07311528
773	0.07316334
774	0.07325946
775	0.07335558
776	0.0736119
777	0.07327548
778	0.07327548
779	0.073692
780	0.07298712
781	0.072891
782	0.07333956
783	0.0731313
784	0.0727308
785	0.0731313
786	0.07325946
787	0.07245846
788	0.07162542
789	0.07141716
790	0.06930252
791	0.0703278
792	0.06975108
793	0.06935058
794	0.07005546
795	0.06987924
796	0.06875784
797	0.06994332
798	0.0713691
799	0.07005546
800	0.06899814
801	0.0698472
802	0.0700074
803	0.0688059
804	0.06970302
805	0.06826122
806	0.0711288
807	0.07047198
808	0.07031178
809	0.06861366
810	0.06877386
811	0.06869376
812	0.0670437
813	0.06593832
814	0.05914584
815	0.05866524
816	0.05459616
817	0.05595786
818	0.05409954
819	0.05961042
820	0.05682294
821	0.06585822
822	0.06289452
823	0.04451958
824	0.06194934
825	0.06430428
826	0.06202944
827	0.06547374
828	0.05658264
829	0.06194934
830	0.06113232
831	0.06174108
832	0.0598347
833	0.06406398
834	0.0626382
835	0.0673641
836	0.0653616
837	0.0679248
838	0.06731604
839	0.06755634
840	0.06861366
841	0.06830928
842	0.06750828
843	0.06814908
844	0.06693156
845	0.06906222
846	0.06930252
847	0.06754032
848	0.06765246
849	0.06731604
850	0.06108426
851	0.06670728
852	0.0664029
853	0.06617862
854	0.05844096
855	0.06276636
856	0.06697962
857	0.06834132
858	0.06843744
859	0.06850152
860	0.06834132
861	0.0683253
862	0.06893406
863	0.06943068
864	0.06802092
865	0.06699564
866	0.0591138
867	0.06382368
868	0.06694758
869	0.06635484
870	0.0676845
871	0.0668034
872	0.06779664
873	0.06718788
874	0.06609852
875	0.06521742
876	0.06710778
877	0.06742818
878	0.06723594
879	0.06619464
880	0.066483
881	0.06436836
882	0.06613056
883	0.06598638
884	0.0663228
885	0.06718788
886	0.06465672
887	0.06494508
888	0.06585822
889	0.0668034
890	0.06611454
891	0.06633882
892	0.06518538
893	0.06270228
894	0.0611964
895	0.0585531
896	0.05493258
897	0.04801194
898	0.0518247
899	0.03966552
900	0.0537471
901	0.0434142
902	0.04844448
903	0.05001444
904	0.06138864
905	0.05946624
906	0.05650254
907	0.04657014
908	0.04761144
909	0.05148828
910	0.04570506
911	0.0489411
912	0.05052708
913	0.0461376
914	0.04604148
915	0.04991832
916	0.042453
917	0.05384322
918	0.04375062
919	0.05459616
920	0.05504472
921	0.05780016
922	0.05192082
923	0.05530104
924	0.05360292
925	0.05289804
926	0.05236938
927	0.05869728
928	0.04400694
929	0.04118742
930	0.03231234
931	0.03063024
932	0.02254014
933	0.01863126
934	0.010800684
935	0.01885554
936	0.012149568
937	0.012309768
938	0.015129288
939	0.0301176
940	0.03566052
941	0.02814714
942	0.03069432
943	0.02109834
944	0.02169108
945	0.02798694
946	0.014804082
947	0.02825928
948	0.0209061
949	0.03769506
950	0.011249244
951	0.03699018
952	0.0205857
953	0.02633688
954	0.03253662
955	0.0261927
956	0.0252315
957	0.020826
958	0.03551634
959	0.028836
960	0.03247254
961	0.0356445
962	0.03417066
963	0.03910482
964	0.03554838
965	0.0390888
966	0.03905676
967	0.03907278
968	0.05075136
969	0.05347476
970	0.0495018
971	0.0557496
972	0.0537471
973	0.04745124
974	0.04506426
975	0.04624974
976	0.04488804
977	0.05017464
978	0.04836438
